"InsectPK","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","DateDetermined"
29,"Hymenoptera","Apidae","Anthophora","","montana","","J.S. Ascher","Cresson",2013
30,"Hymenoptera","Halictidae","Dufourea","","maura","","J.S. Ascher","Cresson",2013
31,"Hymenoptera","Megachilidae","Megachile","","melanophaea","","J.S. Ascher","Smith",2013
32,"Hymenoptera","Megachilidae","Megachile","","frigida","","J.S. Ascher","Smith",2013
33,"Hymenoptera","Halictidae","Lasioglossum","","obnubilum","Dialictus","J.S. Ascher","Sandhouse",2013
34,"Hymenoptera","Halictidae","Sphecodes","","sp.","b","J.S. Ascher","",2013
35,"Diptera","Syrphidae","Copestylum",NA,"haagi","","M. Hauser","Jaennicke",2013
36,"Hymenoptera","Apidae","Melissodes","Eumelissodes","confusa","","J.S. Ascher","Cresson",2013
37,"Diptera","Syrphidae","Pipizini",NA,"sp.","a","M. Hauser","",2013
38,"Apodiformes","Trochilidae","Selasphorus","","platycercus","","A.J. Rominger","",2013
39,"Apodiformes","Trochilidae","Selasphorus","","rufus","","A.J. Rominger","",2013
40,"Hymenoptera","Halictidae","Halictus","","tripartitus","","J.S. Ascher","Cockerell",2013
41,"Diptera","Syrphidae","Chamaesyrphus",NA,"willistoni","","M. Hauser","",2013
42,"Diptera","Syrphidae","Platycheirus",NA,"spinipes","","M. Hauser","Vockeroth",2013
43,"Hymenoptera","Halictidae","Lasioglossum","Lasioglossum","sisymbrii","","J.S. Ascher","Cockerell",2013
44,"Diptera","Syrphidae","Platycheirus",NA,"stegnus","","M. Hauser","Say",2013
45,"Lepidoptera","Lycaenidae","Hemiargus",NA,"isola","","L.Ponisio","Reakirt",2013
46,"Diptera","Syrphidae","Syrphus",NA,"sonorensis","","M. Hauser","Vockeroth",2013
