UniqueID,TempID,Collector,SampleRound,Order,Family,Genus,SubGenus,Species,SubSpecies,PlantGenus,PlantSpecies,PlantFamily,Date,Dos,SampleRound.1,StartTime,EndTime,TempStart,TempEnd,WindStart,WindEnd,SkyStart,SkyEnd,Site,Country,State,County,Meadow,Forest,MtRange,Lat,Long,GenSp,PlantGenSp,Int,IntGen,PolSpec,PlantSpec,DateStart
JC_071112_26,26,LCP,1,Hymenoptera,Apidae,Bombus,,rufocinctus,,Campanula,rotundifolia,Campanulaceae,7/11/12,1,1,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus rufocinctus ,Campanula rotundifolia,Bombus rufocinctus  Campanula rotundifolia,Bombus Campanula,0.558101464,0.616833812,7/11/12
JC_071212_7,7,HLS,1,Hymenoptera,Apidae,Bombus,,bifarius,,Campanula,rotundifolia,Campanulaceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus bifarius ,Campanula rotundifolia,Bombus bifarius  Campanula rotundifolia,Bombus Campanula,0.32876744,0.616833812,7/11/12
JC_071212_17,17,HLS,1,Hymenoptera,Apidae,Bombus,,bifarius,,Campanula,rotundifolia,Campanulaceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus bifarius ,Campanula rotundifolia,Bombus bifarius  Campanula rotundifolia,Bombus Campanula,0.32876744,0.616833812,7/11/12
JC_071212_38,38,LCP,1,Hymenoptera,Halictidae,Agapostemen,,angelicus,,Campanula,rotundifolia,Campanulaceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Agapostemen angelicus ,Campanula rotundifolia,Agapostemen angelicus  Campanula rotundifolia,Agapostemen Campanula,0.264095135,0.616833812,7/11/12
JC_071212_39,39,LCP,1,Hymenoptera,Apidae,Bombus,,rufocinctus,,Campanula,rotundifolia,Campanulaceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus rufocinctus ,Campanula rotundifolia,Bombus rufocinctus  Campanula rotundifolia,Bombus Campanula,0.558101464,0.616833812,7/11/12
JC_071212_104,104,LCP,1,Hymenoptera,Apidae,Bombus,,rufocinctus,,Campanula,rotundifolia,Campanulaceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus rufocinctus ,Campanula rotundifolia,Bombus rufocinctus  Campanula rotundifolia,Bombus Campanula,0.558101464,0.616833812,7/11/12
JC_071212_123,123,HLS,1,Hymenoptera,Apidae,Bombus,,rufocinctus,,Campanula,rotundifolia,Campanulaceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus rufocinctus ,Campanula rotundifolia,Bombus rufocinctus  Campanula rotundifolia,Bombus Campanula,0.558101464,0.616833812,7/11/12
JC_071212_23,23,HLS,1,Hymenoptera,Halictidae,Dufourea,,fimbriata,,Campanula,rotundifolia,Campanulaceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Dufourea fimbriata ,Campanula rotundifolia,Dufourea fimbriata  Campanula rotundifolia,Dufourea Campanula,0.360454388,0.616833812,7/11/12
JC_071212_8,8,HLS,1,Hymenoptera,Apidae,Melissodes,Eumelissodes,tristis,,Campanula,rotundifolia,Campanulaceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Melissodes tristis ,Campanula rotundifolia,Melissodes tristis  Campanula rotundifolia,Melissodes Campanula,0.402574453,0.616833812,7/11/12
JC_071212_10,10,HLS,1,Hymenoptera,Apidae,Melissodes,Eumelissodes,tristis,,Campanula,rotundifolia,Campanulaceae,7/12/12,2,2,9:54,14:30,70.8,76.9,1.1,0,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Melissodes tristis ,Campanula rotundifolia,Melissodes tristis  Campanula rotundifolia,Melissodes Campanula,0.402574453,0.616833812,7/11/12
