"GenusSpecies","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","r.degree"
"Geranium caespitosum",11,0.0495495495495495,0.308629227298022,-0.0628518884274525,0.35,0.995475113122172,0.95475113122172,0.529112181135763,1,1.3,0.0111617329428302,0,0.0108988331837415,0.00794815851201662,5.92566039869034,1.77618965018486,5.907304583758,0.119891516289047,0.153644756786551,0.382602805005149,17
"Geranium richardsonii",9,0.0405405405405405,1.37075273837504,0.0411947487083381,0.4,0.994570135746606,0.963800904977376,0.50282474955849,1,1.46,0.00332460306544309,0,0.00987306064880113,0.00589844361017547,5.6853719830432,1.74479133236063,5.72470678972761,0.116185608444456,0.0677966101694915,0.504457783813944,24
"Geranium viscosissimum",9,0.0405405405405405,1.38345723428632,0.0426063593651469,0.38,0.997856632531555,0.963800904977376,0.687104010824965,1,1.26,0.0122397986974906,0,0.0111552763174766,0.00695461332578715,4.59275246808516,1.28468183284369,3.61351807153014,0.0733380435342337,0.121562432331345,0.48758643235064,33.5
"Glandularia bipinnatifida",21,0.0945945945945946,4.33874626573566,0.158987917415984,0.18,0.987659399424105,0.909502262443439,0.341735272610895,1,1.27,0.0159986143155064,0,0.0110911655340428,0.00643858950505756,17.2654507519573,2.57794063403502,13.1699883877505,0.267291089350275,0.225575306600524,0.437054553990264,165.5
"Helianthella parryi",11,0.0495495495495495,4.3281148756803,0.302555897789118,0.36,0.992760180995475,0.95475113122172,0.451123942601137,1,1.51,0.00392276627056973,0,0.00955250673163226,0.00360471455742177,7.1933266361795,1.95634156823876,7.07340211278784,0.143558012389602,0.105706956678432,0.715764221978371,23.25
"Helianthus ciliaris",1,0.0045045045045045,0.00606060606060606,-0.993939393939394,0.93,1,1,1,1,1.73,0,0,0.00814206949608924,0.000395293894659902,134217776.500017,0,1,0.0202954688706396,0.0227366680446465,0.208825199050665,1
"Heliomeris multiflora nevadensis",8,0.036036036036036,1.32991587931467,0.0412394849143343,0.42,0.990950226244344,0.968325791855204,0.454655135539883,1,1.44,0.00699649070897804,0.00742574257425743,0.0100012822156687,0.00697478459142948,3.35868732661454,1.74862126858354,5.74667409145733,0.116631445132883,0.123429416112343,0.581312333510414,12.5
"Heracleum sphondylium",2,0.00900900900900901,0.042989417989418,-0.478505291005291,0.78,0.995475113122172,0.995475113122172,0.70550517826667,1,1.69,0.000400407094852941,0,0.00839851262982434,0.000775950973299851,268435505.000009,0.693147180559945,2,0.0405909377412792,0.0268706076891277,0.338891927360193,3
"Hesperidanthus linearifolius",14,0.0630630630630631,1.45574105459051,0.0325529324707505,0.3,0.991402714932127,0.941176470588235,0.4077746646392,1,1.22,0.023138123276908,0.00742574257425743,0.0114117194512117,0.00673850167374349,10.6504168254993,2.20020516742266,9.02686532815419,0.183204464267009,0.141931927793854,0.498540019697762,39
"Heterotheca pumila",15,0.0675675675675676,0.542701525023861,-0.0304865649984093,0.26,0.99224305106658,0.936651583710407,0.445652537780137,1,1.18,0.020117480155942,0,0.0116681625849468,0.0111496953648887,6.63467698234883,2.03939392866165,7.68594955325055,0.155989949899303,0.277089996591313,0.34126369896894,25.6666666666667
"Holodiscus dumosus",1,0.0045045045045045,0.05,-0.95,0.94,1,1,1,1,1.9,0,0,0.00709492670000427,0.000395973717118462,134217776.500017,0,1,0.0202954688706396,0.00275595976298746,0.535806267939647,1
"Hymenopappus newberryi",52,0.234234234234234,11.1128556411162,0.194477993098389,0.03,0.988492744577937,0.769230769230769,0.361767668136787,1,1.09,0.0331237442845664,0.0220522052205221,0.0122451596358508,0.0195237592153662,15.765058191829,2.56632876376272,13.0179446555555,0.264205290516536,0.380081049356825,0.357188886821917,129.785714285714
"Hymenoxys hoopesii",53,0.238738738738739,19.2250378650256,0.343868638962748,0.02,0.991926182237601,0.764705882352941,0.409775825553905,1,1.17,0.0361941056371726,0.0822082208220822,0.0117322733683806,0.0201565815322193,13.2510702257716,2.52745273564021,12.521569730399,0.254131128674857,0.365650455024483,0.532348782009236,86.3333333333333
"Hymenoxys richardsonii",22,0.0990990990990991,1.39167313079567,0.0178033241270757,0.16,0.993678466861858,0.904977375565611,0.513687852615453,1,1.23,0.0159724099816572,0,0.0113476086677779,0.0167933985689801,6.8530793396871,1.87803000811029,6.54060721906078,0.132744690209529,0.309200086905725,0.324333770716332,47
