"GenusSpecies","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","r.degree"
"Pseudoscaeva diversifasciata",2,0.021505376344086,0.00919469536805689,-0.495402652315972,0.62396694214876,0.989130434782609,0.989130434782609,0.703253309548774,0.00459734768402844,1.64876033057851,0.00194644586347077,0,0.00387367323730099,0.000394296939024504,NA,0.693147180559945,2,0.0672980522154298,0.112628307750259,0.170697157354092,3
"Ptilothrix sp. a",1,0.010752688172043,0.1,-0.9,0.954545454545455,1,1,1,0.1,1.98760330578512,0,0,0.00292598559514784,0.000203276806383754,NA,0,1,0.0336490261077149,0.00094170825878143,0.681066584715002,1
"Scaeva affinis",14,0.150537634408602,0.285964767325006,-0.0510025166196424,0.12396694214876,0.934782608695652,0.858695652173913,0.277142376896555,0.0158191761415333,1.22314049586777,0.0092330545544148,0,0.00509382107657316,0.00316723421872694,NA,2.53348451560049,12.5973253246272,0.423887728735757,0.521729918071381,0.134994732730408,16.5
"Sericomyia flagrans",5,0.0537634408602151,0.0304369240133484,-0.19391261519733,0.309917355371901,0.97554347826087,0.956521739130435,0.4841187666166,0.00615951799225872,1.34297520661157,0.00304649520621018,0,0.00475028430629265,0.00200694523138812,NA,1.49856907967701,4.47528071638138,0.15058883766487,0.294566343346831,0.155113961438304,5.25
"Sphaerophoria sp. a",1,0.010752688172043,0.012987012987013,-0.987012987012987,0.958677685950413,1,1,1,0.012987012987013,1.8801652892562,0,0,0.00321029188779378,0.000203445859816389,NA,0,1,0.0336490261077149,0.00725115359261701,0.398335070117268,1
"Sphaerophoria spp",5,0.0537634408602151,1.02075229860296,0.00415045972059261,0.347107438016529,0.978260869565217,0.956521739130435,0.462350641766645,0.170484578502793,1.34297520661157,0.00377053001709645,0,0.00475028430629265,0.000918135286807818,NA,1.56071040904141,4.7622031559046,0.160243498323276,0.242678218287974,0.269875789739513,13
"Sphecodes sp. a",6,0.0645161290322581,0.0792179349082074,-0.153463677515299,0.272727272727273,0.976902173913043,0.945652173913043,0.448339933144678,0.0132380310333476,1.28512396694215,0.00891942883687529,0,0.00491612964366945,0.00300250840878773,NA,1.6724800605506,5.32535864526305,0.179193132087402,0.295413880779734,0.207660975336262,6
"Sphecodes sp. b",13,0.139784946236559,0.661724650316385,-0.0260211807448934,0.128099173553719,0.985773657289003,0.869565217391304,0.49810861346815,0.0638459264446938,1.22314049586777,0.0131853834993388,0,0.00509382107657316,0.00620355894297265,NA,1.72495214968747,5.61225247523304,0.188846830062204,0.338741457896344,0.280460785717051,19.25
"Spilomyia crandalli",1,0.010752688172043,0.000930232558139535,-0.99906976744186,0.962809917355372,1,1,1,0.000930232558139535,1.73140495867769,0,0,0.0036367513267627,0.00020346061454215,NA,0,1,0.0336490261077149,0.101233637819004,0.0331825453723789,1
"Spilomyia kahli",1,0.010752688172043,0.0113636363636364,-0.988636363636364,0.966942148760331,1,1,1,0.0113636363636364,1.93801652892562,0,0,0.00307603613848875,0.000203246990519763,NA,0,1,0.0336490261077149,0.00828703267727658,0.379839500408648,1
"Stelis elegans",1,0.010752688172043,0.000930232558139535,-0.99906976744186,0.971074380165289,1,1,1,0.000930232558139535,1.73140495867769,0,0,0.0036367513267627,0.00020346061454215,NA,0,1,0.0336490261077149,0.101233637819004,0.0331825453723789,1
"Svastra machaerantherae",2,0.021505376344086,0.0139172455451525,-0.493041377227424,0.628099173553719,0.989130434782609,0.989130434782609,0.703253309548774,0.00695862277257626,1.67768595041322,0.00059286828618415,0,0.00379075056861259,0.000395984997147124,NA,0.693147180559945,2,0.0672980522154298,0.108484791411621,0.202527727817366,3
"Svastra sila",1,0.010752688172043,0.00387596899224806,-0.996124031007752,0.975206611570248,1,1,1,0.00387596899224806,1.87190082644628,0,0,0.00324188147586556,0.000203364306595254,NA,0,1,0.0336490261077149,0.0242960730765609,0.230853890808544,1
"Svastra sp. a",1,0.010752688172043,0.000930232558139535,-0.99906976744186,0.979338842975207,1,1,1,0.000930232558139535,1.73140495867769,0,0,0.0036367513267627,0.00020346061454215,NA,0,1,0.0336490261077149,0.101233637819004,0.0331825453723789,1
"Syntrichalonia exquisita",1,0.010752688172043,0.00775193798449612,-0.992248062015504,0.698347107438017,1,1,1,0.00775193798449612,1.87190082644628,0,0,0.00324188147586556,0.000396489205580454,NA,0,1,0.0336490261077149,0.0242960730765609,0.315505785260016,1
"Syritta pipiens",1,0.010752688172043,0.0113636363636364,-0.988636363636364,0.983471074380165,1,1,1,0.0113636363636364,1.93801652892562,0,0,0.00307603613848875,0.000203246990519763,NA,0,1,0.0336490261077149,0.00828703267727658,0.379839500408648,1
"Syrphus opinator",5,0.0537634408602151,0.0345815165406972,-0.193083696691861,0.322314049586777,0.980978260869565,0.956521739130435,0.498109974335506,0.00487945030209902,1.31404958677686,0.00394689371986244,0,0.00483320697498105,0.00176819034283852,NA,1.46813993901621,4.34115281760506,0.146075564497173,0.348808739052641,0.106327874077934,7
"Syrphus ribesii",8,0.0860215053763441,0.0862927422102897,-0.114213407223714,0.214876033057851,0.976086956521739,0.923913043478261,0.431932745620346,0.0152135126344069,1.23140495867769,0.0111096688360429,0,0.00507012888551933,0.00230920190291194,NA,1.83642238675416,6.27405193002302,0.211115737194504,0.338797203126471,0.189845504597916,20.5
"Syrphus sonorensis",5,0.0537634408602151,0.147926523729327,-0.170414695254134,0.318181818181818,0.992236024844721,0.956521739130435,0.61826076764711,0.0574762816695261,1.40495867768595,0.0060312893653865,0,0.00457259287338893,0.00163285267046424,NA,1.23426786607908,3.43586208845225,0.115613413116838,0.220626549894843,0.420894287338936,9.5
"Syrphus sp. a",16,0.172043010752688,0.335445951427064,-0.0415346280358085,0.0867768595041322,0.972624798711755,0.83695652173913,0.373273051917074,0.0206529378780768,1.19834710743802,0.0123280178329897,0,0.00516489764973465,0.00546736611395739,NA,2.23931991842033,9.38694522762943,0.315861565036192,0.563048359197268,0.127754908469364,18
"Tetraloniella lippiae",1,0.010752688172043,0.0065359477124183,-0.993464052287582,0.987603305785124,1,1,1,0.0065359477124183,1.91735537190083,0,0,0.0031115744250695,0.000203319084745338,NA,0,1,0.0336490261077149,0.0144081363593559,0.303228900625474,1
"Toxomerus marginatus",16,0.172043010752688,0.508209149637713,-0.030736928147643,0.0909090909090909,0.958074534161491,0.83695652173913,0.345578032172394,0.0331741055981693,1.1900826446281,0.0140361657632692,0,0.00518858984078848,0.00491138970210672,NA,2.31579002604044,10.1329250320293,0.34096305895027,0.404822377204013,0.204941448573556,28.25
"Triepeolus sp. a",9,0.0967741935483871,0.414734415420626,-0.0650295093977082,0.190082644628099,0.995169082125604,0.91304347826087,0.70112372590911,0.108328517373167,1.33471074380165,0.00716036605839351,0,0.00477397649734647,0.00437448183152707,NA,1.18882939014683,3.2832355690438,0.110477679380533,0.18460017240505,0.485997699484777,19
"Triepeolus sp. b",1,0.010752688172043,0.0021551724137931,-0.997844827586207,0.702479338842975,1,1,1,0.0021551724137931,1.55371900826446,0,0,0.00414613343442002,0.000398261400533277,NA,0,1,0.0336490261077149,0.0873905264149167,0.13521035268803,1
"Triepeolus sp. c",1,0.010752688172043,0.00107758620689655,-0.998922413793103,0.991735537190083,1,1,1,0.00107758620689655,1.55371900826446,0,0,0.00414613343442002,0.000203829521613135,NA,0,1,0.0336490261077149,0.0873905264149167,0.0535497889224344,1
