,key,site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,determiner.x,dateDetermined,notes,uniqueID,genus_species,genus,family,determiner.y
109,Epargyreus_clarus,PL,81112,281,skipper,,,purple flower,Glandularia bipinnatifida,3,1,HLS,,,,EMEC_SI_PL_081112_281,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
110,Epargyreus_clarus,PL,81212,297,skipper,,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_297,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
111,Epargyreus_clarus,PL,81212,298,skipper,,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_298,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
112,Epargyreus_clarus,PL,80912,406,skipper,,,purple flower,Glandularia bipinnatifida,1,1,LCP,,,,EMEC_SI_PL_080912_406,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
113,Epargyreus_clarus,PL,81112,255,skipper,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,,EMEC_SI_PL_081112_255,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
114,Epargyreus_clarus,PL,81212,296,skipper,,,purple flower,Glandularia bipinnatifida,4,1,LCP,,,,EMEC_SI_PL_081212_296,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
115,Epargyreus_clarus,PL,81312,240,skipper,,,purple flower,Glandularia bipinnatifida,5,1,HLS,,,,EMEC_SI_PL_081312_240,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
116,Epargyreus_clarus,PL,81112,106,skipper,,,purple flower,Glandularia bipinnatifida,3,1,HLS,,,,EMEC_SI_PL_081112_106,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
117,Epargyreus_clarus,PL,81312,279,skipper,,,purple flower,Glandularia bipinnatifida,5,1,LCP,,,,EMEC_SI_PL_081312_279,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
118,Epargyreus_clarus,PL,80912,372,skipper,,,purple flower,Glandularia bipinnatifida,1,1,LCP,,,,EMEC_SI_PL_080912_372,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
119,Euptoierta_claudia,PL,81212,290,fritillary,,,big yellow aster,Hymenoxys hoopesii,4,1,LCP,,,,EMEC_SI_PL_081212_290,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
120,Euptoierta_claudia,CH,82012,185,frittlry,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,,EMEC_SI_CH_082012_185,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
121,Euptoierta_claudia,CH,82012,182,frittlry,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,,EMEC_SI_CH_082012_182,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
122,Euptoierta_claudia,PL,81312,278,speyeria,,,purple flower,Glandularia bipinnatifida,5,1,LCP,,,,EMEC_SI_PL_081312_278,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
123,Euptoierta_claudia,PL,81312,288,fritillary,,,big yellow aster,Hymenoxys hoopesii,5,1,LCP,,,,EMEC_SI_PL_081312_288,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
124,Euptoierta_claudia,PL,81012,320,fritillary,,,purple flower,Glandularia bipinnatifida,2,1,LCP,,,,EMEC_SI_PL_081012_320,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
125,Euptoierta_claudia,PL,81312,287,fritillary,,,big yellow aster,Hymenoxys hoopesii,5,1,LCP,,,,EMEC_SI_PL_081312_287,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
126,Euptoierta_claudia,PL,81212,279,fritillary,,,purple flower,Glandularia bipinnatifida,4,1,HLS,,,,EMEC_SI_PL_081212_279,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
127,Euptoierta_claudia,PL,81312,238,fritillary,,,big yellow aster,Hymenoxys hoopesii,5,1,HLS,,,,EMEC_SI_PL_081312_238,Euptoieta claudia,Euptoieta,Nymphalidae,L.Ponisio
