"","key","site","date","number","genID","genSp","sex","fieldPlantID","finalPlantID","samplingDay","sampingRound","collector","determiner.x","dateDetermined","notes","uniqueID","genus_species","genus","family","determiner.y"
"64","Colias_eurytheme","JC","071512","16","sulfur","Colias eurytheme","f","Erigeron subtrinervis","Erigeron subtrinervis",4,1,"LCP","","","","EMEC_SI_JC_071512_16","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"65","Colias_eurytheme","PL","080912","384","sulfur","Colias eurytheme","","big yellow aster","Hymenoxys hoopesii",1,1,"HLS","","","","EMEC_SI_PL_080912_384","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"66","Colias_eurytheme","PL","080912","383","sulfur","Colias eurytheme","","big yellow aster","Hymenoxys hoopesii",1,1,"HLS","","","","EMEC_SI_PL_080912_383","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"67","Colias_eurytheme","PL","080912","388","sulfur","","","purple flower","Glandularia bipinnatifida",1,1,"HLS","","","","EMEC_SI_PL_080912_388","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"68","Colias_eurytheme","CH","082112","186","sulfur","","","purple flower","Glandularia bipinnatifida",4,2,"HLS","","","","EMEC_SI_CH_082112_186","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"69","Colias_eurytheme","MM","080212","331","sulfur","","","yellow brassica","Erysimum capitatum",3,1,"LCP","","","","EMEC_SI_MM_080212_331","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"70","Colias_eurytheme","SC","072012","323","sulfur","Colias eurytheme","f","pea","Oxytropis lambertii",1,1,"HLS","","","","EMEC_SI_SC_072012_323","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"71","Colias_eurytheme","PL","080912","401","sulfur","Colias eurytheme","","wall flower","Erysimum capitatum",1,1,"LCP","","","Specimen destroyed","EMEC_SI_PL_080912_401","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"72","Colias_eurytheme","SC","072712","267B","sulfur","","","wall flower","Erysimum capitatum",5,1,"HLS","","","","EMEC_SI_SC_072712_267B","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"73","Colias_eurytheme","PL","081112","268","sulfur","Colias eurytheme","","wall flower","Erysimum capitatum",3,1,"LCP","","","","EMEC_SI_PL_081112_268","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"74","Colias_eurytheme","PL","080912","400","sulfur","Colias eurytheme","","wall flower","Erysimum capitatum",1,1,"LCP","","","","EMEC_SI_PL_080912_400","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"75","Colias_eurytheme","JC","071612","10","sulfur","Colias eurytheme","m","Erigeron subtrinervis","Erigeron subtrinervis",5,1,"HLS","","","","EMEC_SI_JC_071612_10","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"76","Colias_eurytheme","JC","071512","2","sulfur","Colias eurytheme","m","Erigeron subtrinervis","Erigeron subtrinervis",4,1,"LCP","","","","EMEC_SI_JC_071512_2","Colias eurytheme","Colias","Pieridae","L.Ponisio"
