,key,site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,uniqueID,genus_species,genus,family,determiner.y,lat,long,state,country,county
57,Colias_eurytheme,JC,71512,9,sulfur,Colias eurytheme,f,Hymenopappus newberryi,Hymenopappus newberryi,4,1,LCP,EMEC_SI_JC_071512_9,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
58,Colias_eurytheme,PL,81212,285,sulfur,Colias eurytheme,,thistle,Cirsium parryi,4,1,HLS,EMEC_SI_PL_081212_285,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
59,Colias_eurytheme,CH,82112,187,sulfur,,,yellow aster,Heliomeris multiflora var. nevadensis,4,2,HLS,EMEC_SI_CH_082112_187,Colias eurytheme,Colias,Pieridae,L.Ponisio," 31Á55'2.68""N","109Á16'44.17""W",Arizona,USA,Cochise
60,Colias_eurytheme,CH,82112,199,sulfur,,,purple flower,Glandularia bipinnatifida,4,1,HLS,EMEC_SI_CH_082112_199,Colias eurytheme,Colias,Pieridae,L.Ponisio," 31Á55'2.68""N","109Á16'44.17""W",Arizona,USA,Cochise
61,Colias_eurytheme,PL,81312,276,sulfur,,,purple flower,Glandularia bipinnatifida,5,1,LCP,EMEC_SI_PL_081312_276,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
62,Colias_eurytheme,PL,81012,336,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,2,1,HLS,EMEC_SI_PL_081012_336,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
63,Colias_eurytheme,PL,81012,334,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,2,1,HLS,EMEC_SI_PL_081012_334,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
64,Colias_eurytheme,JC,71612,4,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,EMEC_SI_JC_071612_4,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
65,Colias_eurytheme,JC,71512,3,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,EMEC_SI_JC_071512_3,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
66,Colias_eurytheme,PL,81112,272,sulfur,Colias eurytheme,,big yellow aster,Hymenoxys hoopesii,3,1,HLS,EMEC_SI_PL_081112_272,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
