Meadow,Family,GenusSpecies,Forest,State,Deteriner,Count
Kiwanis meadow,Trochilidae,Selasphorus platycercus,Cibola,New Mexico,A.J. Rominger,7
Kiwanis meadow,Vespidae,Ancistrocerus adiabatus,Cibola,New Mexico,J. Carpenter,5
Kiwanis meadow,Vespidae,Ancistrocerus antilope,Cibola,New Mexico,J. Carpenter,2
Kiwanis meadow,Vespidae,Ancistrocerus bustamente,Cibola,New Mexico,J. Carpenter,159
Kiwanis meadow,Vespidae,Ancistrocerus catskill,Cibola,New Mexico,J. Carpenter,20
Kiwanis meadow,Vespidae,Ancistrocerus spilogaster,Cibola,New Mexico,J. Carpenter,2
Kiwanis meadow,Vespidae,Ancistrocerus tuberculocephalus,Cibola,New Mexico,J. Carpenter,1
Kiwanis meadow,Halictidae,Agapostemen angelicus,Cibola,New Mexico,J.S. Ascher,70
Kiwanis meadow,Andrenidae,Andrena apacheorum,Cibola,New Mexico,J.S. Ascher,1
Kiwanis meadow,Apidae,Anthophora montana,Cibola,New Mexico,J.S. Ascher,45
Kiwanis meadow,Colletidae,Colletes gilensis,Cibola,New Mexico,J.S. Ascher,1
Kiwanis meadow,Halictidae,Dufourea maura,Cibola,New Mexico,J.S. Ascher,5
Kiwanis meadow,Halictidae,Halictus farinosus,Cibola,New Mexico,J.S. Ascher,3
Kiwanis meadow,Halictidae,Halictus ligatus,Cibola,New Mexico,J.S. Ascher,2
Kiwanis meadow,Halictidae,Halictus tripartitus,Cibola,New Mexico,J.S. Ascher,5
Kiwanis meadow,Colletidae,Hylaeus annulatus,Cibola,New Mexico,J.S. Ascher,4
Kiwanis meadow,Halictidae,Lasioglossum cinctipes,Cibola,New Mexico,J.S. Ascher,1
Kiwanis meadow,Halictidae,Lasioglossum cooleyi,Cibola,New Mexico,J.S. Ascher,1
Kiwanis meadow,Halictidae,Lasioglossum diatretum,Cibola,New Mexico,J.S. Ascher,2
Kiwanis meadow,Halictidae,Lasioglossum lusorium,Cibola,New Mexico,J.S. Ascher,1
Kiwanis meadow,Halictidae,Lasioglossum manitouellum,Cibola,New Mexico,J.S. Ascher,4
Kiwanis meadow,Halictidae,Lasioglossum occultum,Cibola,New Mexico,J.S. Ascher,18
Kiwanis meadow,Halictidae,Lasioglossum ruficorne,Cibola,New Mexico,J.S. Ascher,2
Kiwanis meadow,Halictidae,Lasioglossum ruidosense,Cibola,New Mexico,J.S. Ascher,16
Kiwanis meadow,Halictidae,Lasioglossum semicaeruleum,Cibola,New Mexico,J.S. Ascher,59
Kiwanis meadow,Halictidae,Lasioglossum sisymbrii,Cibola,New Mexico,J.S. Ascher,158
Kiwanis meadow,Megachilidae,Megachile fidelis,Cibola,New Mexico,J.S. Ascher,2
Kiwanis meadow,Apidae,Melissodes confusa,Cibola,New Mexico,J.S. Ascher,7
Kiwanis meadow,Apidae,Melissodes grindeliae,Cibola,New Mexico,J.S. Ascher,2
Kiwanis meadow,Apidae,Melissodes menuachus,Cibola,New Mexico,J.S. Ascher,1
Kiwanis meadow,Apidae,Melissodes pallidisignata,Cibola,New Mexico,J.S. Ascher,2
Kiwanis meadow,Apidae,Melissodes sp. c,Cibola,New Mexico,J.S. Ascher,1
Kiwanis meadow,Andrenidae,Pseudopanurgus atricornis,Cibola,New Mexico,J.S. Ascher,177
Kiwanis meadow,Halictidae,Sphecodes sp. a,Cibola,New Mexico,J.S. Ascher,7
Kiwanis meadow,Halictidae,Sphecodes sp. b,Cibola,New Mexico,J.S. Ascher,44
Kiwanis meadow,Apidae,Triepeolus sp. a,Cibola,New Mexico,J.S. Ascher,1
Kiwanis meadow,Pieridae,Colias eurytheme,Cibola,New Mexico,L.Ponisio,11
Kiwanis meadow,Lycaenidae,Hemiargus isola,Cibola,New Mexico,L.Ponisio,6
Kiwanis meadow,Lycaenidae,Ministrymon leda,Cibola,New Mexico,L.Ponisio,1
Kiwanis meadow,Pieridae,Nathalis iole,Cibola,New Mexico,L.Ponisio,1
Kiwanis meadow,Pieridae,Neophasia menapia,Cibola,New Mexico,L.Ponisio,1
Kiwanis meadow,Lycaenidae,Plebejus acmon,Cibola,New Mexico,L.Ponisio,4
Kiwanis meadow,Hesperiidae,Poanes zabulon taxiles,Cibola,New Mexico,L.Ponisio,1
Kiwanis meadow,Nymphalidae,Polygonia gracilis,Cibola,New Mexico,L.Ponisio,1
Kiwanis meadow,Hesperiidae,Pyrgus commonis,Cibola,New Mexico,L.Ponisio,1
Kiwanis meadow,Nymphalidae,Speyeria atlantis,Cibola,New Mexico,L.Ponisio,2
Kiwanis meadow,Syrphidae,Allograpta obliqua,Cibola,New Mexico,M. Hauser,1
Kiwanis meadow,Syrphidae,Chamaesyrphus willistoni,Cibola,New Mexico,M. Hauser,6
Kiwanis meadow,Syrphidae,Cheilosia sp. a,Cibola,New Mexico,M. Hauser,2
Kiwanis meadow,Syrphidae,Chrysotoxum sp. a,Cibola,New Mexico,M. Hauser,4
Kiwanis meadow,Syrphidae,Copestylum anna,Cibola,New Mexico,M. Hauser,2
Kiwanis meadow,Syrphidae,Copestylum avidum,Cibola,New Mexico,M. Hauser,57
Kiwanis meadow,Syrphidae,Copestylum comstocki,Cibola,New Mexico,M. Hauser,1
Kiwanis meadow,Syrphidae,Copestylum lentum,Cibola,New Mexico,M. Hauser,56
Kiwanis meadow,Syrphidae,Copestylum mexicana,Cibola,New Mexico,M. Hauser,1
Kiwanis meadow,Syrphidae,Dasysyrphus sp. a,Cibola,New Mexico,M. Hauser,12
Kiwanis meadow,Syrphidae,Eristalis arbustorum,Cibola,New Mexico,M. Hauser,1
Kiwanis meadow,Syrphidae,Eristalis stipator,Cibola,New Mexico,M. Hauser,26
Kiwanis meadow,Syrphidae,Eristalis tenax,Cibola,New Mexico,M. Hauser,1
